City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Avera,US,82.27,few clouds,33.194,-82.5271,
3,Katsuura,JP,89.15,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
6,Zhigansk,RU,80.67,clear sky,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
11,Iwanai,JP,82.9,broken clouds,42.9744,140.5089,いわない高原ホテル
13,Bandrele,YT,76.75,broken clouds,-12.9067,45.1914,Les Baobabs
28,Edd,ER,91.27,overcast clouds,13.9297,41.6925,
32,Hithadhoo,MV,81.7,light rain,-0.6,73.0833,Scoop Guest House
35,Miyako,JP,85.28,scattered clouds,39.6367,141.9525,Hotel Route Inn Miyako
37,Pasighat,IN,90.86,clear sky,28.0667,95.3333,Siang Guest House
38,Fare,PF,77.25,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
39,Miyang,CN,83.14,clear sky,24.4042,103.4428,Huibinlou Hotel
41,Butaritari,KI,83.3,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
42,Bambey,SN,81.37,overcast clouds,14.6955,-16.4493,chez Laurent
44,Najran,SA,84.0,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
45,Nahavand,IR,79.14,broken clouds,34.1885,48.377,فربد سلگی
46,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
47,Faanui,PF,77.85,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
48,Bengkulu,ID,78.91,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
50,Pemberton,CA,76.19,broken clouds,50.3164,-122.8027,Pemberton Valley Lodge
53,Balykshi,KZ,89.6,clear sky,47.0667,51.8667,Гостиница Golden Rose
56,Bayshore Gardens,US,86.11,clear sky,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
57,Haimen,CN,90.16,light rain,23.1935,116.6142,Jinghao Business Hotel
58,Port Orange,US,78.35,light rain,29.1383,-80.9956,"Holiday Inn Express & Suites Oceanfront Daytona Beach Shores, an IHG Hotel"
60,Bani,DO,77.76,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
61,Tecoanapa,MX,79.45,overcast clouds,16.5167,-98.75,Hotel Manglares
62,Puerto Escondido,MX,81.12,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
63,Simao,CN,83.39,few clouds,22.7886,100.9748,Changyu Hotel
66,Batagay,RU,75.63,clear sky,67.6333,134.6333,Gostinitsa Ki'ileekh
69,Hilo,US,75.79,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
73,San Policarpo,PH,92.46,overcast clouds,12.1791,125.5072,JM Lodge
78,Kanniyakumari,IN,85.15,overcast clouds,8.0833,77.5667,Sparsa
82,Rincon,US,80.51,clear sky,32.296,-81.2354,Days Inn Rincon
84,Saint George,US,87.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
88,Atuona,PF,77.41,scattered clouds,-9.8,-139.0333,Villa Enata
92,Goldenrod,US,81.37,broken clouds,28.6103,-81.2887,Colonial Village
94,Banganapalle,IN,88.02,overcast clouds,15.3167,78.2333,Careerfinder4you
97,Auki,SB,79.84,scattered clouds,-8.7676,160.7034,Auki Motel
98,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
