,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,69.48,56,5,21.0,clear sky
1,Avera,US,33.194,-82.5271,82.27,82,18,5.46,few clouds
2,Bredasdorp,ZA,-34.5322,20.0403,55.27,91,100,9.48,overcast clouds
3,Katsuura,JP,35.1333,140.3,89.15,85,87,11.32,light rain
4,Busselton,AU,-33.65,115.3333,58.05,66,100,10.36,overcast clouds
5,Mataura,NZ,-46.1927,168.8643,43.48,95,100,5.59,light rain
6,Zhigansk,RU,66.7697,123.3711,80.67,38,1,13.2,clear sky
7,Kodiak,US,57.79,-152.4072,54.91,94,90,3.44,mist
8,Qaanaaq,GL,77.484,-69.3632,40.37,88,70,4.5,broken clouds
9,Albany,US,42.6001,-73.9662,63.39,95,100,0.87,overcast clouds
10,Bonavista,CA,48.6499,-53.1147,59.11,86,2,17.07,clear sky
11,Iwanai,JP,42.9744,140.5089,82.9,81,69,1.83,broken clouds
12,Ushuaia,AR,-54.8,-68.3,40.66,75,0,5.75,clear sky
13,Bandrele,YT,-12.9067,45.1914,76.75,69,75,17.27,broken clouds
14,Ilulissat,GL,69.2167,-51.1,57.22,41,0,24.16,clear sky
15,Jamestown,US,42.097,-79.2353,62.19,95,90,4.0,overcast clouds
16,Iqaluit,CA,63.7506,-68.5145,49.69,93,100,1.03,overcast clouds
17,Broome,US,42.2506,-75.833,60.91,98,90,1.99,mist
18,Ketchikan,US,55.3422,-131.6461,59.31,90,100,1.57,overcast clouds
19,Punta Arenas,CL,-53.15,-70.9167,39.31,81,40,23.02,scattered clouds
20,Vaini,TO,-21.2,-175.2,71.76,83,40,13.8,scattered clouds
21,Carnarvon,AU,-24.8667,113.6333,66.27,32,0,14.97,clear sky
22,Puerto Ayora,EC,-0.7393,-90.3518,70.56,92,46,5.01,scattered clouds
23,Fortuna,US,40.5982,-124.1573,54.93,73,90,1.01,overcast clouds
24,Sitka,US,57.0531,-135.33,62.49,72,75,0.0,broken clouds
25,Bethel,US,41.3712,-73.414,67.66,92,40,3.44,scattered clouds
26,Port Hardy,CA,50.6996,-127.4199,57.72,92,5,9.6,clear sky
27,Lebu,CL,-37.6167,-73.65,49.03,84,5,17.78,clear sky
28,Edd,ER,13.9297,41.6925,91.27,59,100,4.68,overcast clouds
29,Tasiilaq,GL,65.6145,-37.6368,44.76,79,100,3.94,overcast clouds
30,Cape Town,ZA,-33.9258,18.4232,57.09,89,24,1.99,few clouds
31,Bluff,NZ,-46.6,168.3333,43.81,91,100,12.39,moderate rain
32,Hithadhoo,MV,-0.6,73.0833,81.7,72,83,7.07,light rain
33,Dalvik,IS,65.9702,-18.5286,55.38,87,100,0.49,overcast clouds
34,Port Alfred,ZA,-33.5906,26.891,59.83,84,90,11.43,light rain
35,Miyako,JP,39.6367,141.9525,85.28,68,26,14.03,scattered clouds
36,New Norfolk,AU,-42.7826,147.0587,56.71,62,80,6.29,broken clouds
37,Pasighat,IN,28.0667,95.3333,90.86,63,3,4.12,clear sky
38,Fare,PF,-16.7,-151.0167,77.25,71,3,14.25,clear sky
39,Miyang,CN,24.4042,103.4428,83.14,51,1,2.48,clear sky
40,Chuy,UY,-33.6971,-53.4616,50.95,94,90,5.32,overcast clouds
41,Butaritari,KI,3.0707,172.7902,83.3,67,45,7.05,scattered clouds
42,Bambey,SN,14.6955,-16.4493,81.37,82,96,8.7,overcast clouds
43,Lompoc,US,34.6391,-120.4579,63.1,83,1,3.44,clear sky
44,Najran,SA,17.4924,44.1277,84.0,35,74,9.33,broken clouds
45,Nahavand,IR,34.1885,48.377,79.14,23,80,5.41,broken clouds
46,Kapaa,US,22.0752,-159.319,84.18,77,75,5.01,broken clouds
47,Faanui,PF,-16.4833,-151.75,77.85,71,27,14.83,scattered clouds
48,Bengkulu,ID,-3.8004,102.2655,78.91,87,56,7.78,broken clouds
49,Luderitz,NA,-26.6481,15.1594,62.67,36,0,6.4,clear sky
50,Pemberton,CA,50.3164,-122.8027,76.19,73,84,3.96,broken clouds
51,Khatanga,RU,71.9667,102.5,72.99,44,77,4.21,broken clouds
52,Grants,US,35.1473,-107.8514,64.63,72,1,0.0,clear sky
53,Balykshi,KZ,47.0667,51.8667,89.6,29,0,8.95,clear sky
54,Carballo,ES,43.213,-8.691,60.87,94,40,3.4,scattered clouds
55,Inhambane,MZ,-23.865,35.3833,61.52,79,0,4.59,clear sky
56,Bayshore Gardens,US,27.4253,-82.5904,86.11,71,1,8.05,clear sky
57,Haimen,CN,23.1935,116.6142,90.16,66,82,6.85,light rain
58,Port Orange,US,29.1383,-80.9956,78.35,88,75,12.66,light rain
59,Chimore,BO,-16.9833,-65.1333,59.74,55,13,1.59,few clouds
60,Bani,DO,18.2833,-70.3333,77.76,86,96,10.92,overcast clouds
61,Tecoanapa,MX,16.5167,-98.75,79.45,87,95,3.22,overcast clouds
62,Puerto Escondido,MX,15.85,-97.0667,81.12,82,95,4.47,overcast clouds
63,Simao,CN,22.7886,100.9748,83.39,53,11,1.45,few clouds
64,Algeciras,ES,36.1333,-5.4505,67.77,77,0,8.05,clear sky
65,Leningradskiy,RU,69.3833,178.4167,33.15,99,100,14.72,snow
66,Batagay,RU,67.6333,134.6333,75.63,24,0,2.91,clear sky
67,Ribeira Grande,PT,38.5167,-28.7,72.84,94,29,11.27,scattered clouds
68,Bambous Virieux,MU,-20.3428,57.7575,71.22,61,6,14.9,clear sky
69,Hilo,US,19.7297,-155.09,75.79,89,65,1.01,broken clouds
70,Lima,PE,-12.0432,-77.0282,60.91,87,90,5.75,light intensity drizzle
71,Upernavik,GL,72.7868,-56.1549,41.59,81,2,9.95,clear sky
72,Hobart,AU,-42.8794,147.3294,57.06,55,75,1.99,broken clouds
73,San Policarpo,PH,12.1791,125.5072,92.46,54,100,7.31,overcast clouds
74,Znamenskoye,RU,57.1281,73.8282,71.58,73,59,8.41,broken clouds
75,Rio Claro,BR,-22.4114,-47.5614,47.8,84,23,3.62,few clouds
76,Saint Anthony,US,45.0205,-93.218,66.15,73,1,0.0,clear sky
77,Souillac,MU,-20.5167,57.5167,71.37,65,4,14.29,clear sky
78,Kanniyakumari,IN,8.0833,77.5667,85.15,63,94,21.9,overcast clouds
79,Henties Bay,NA,-22.116,14.2845,70.86,29,0,16.6,clear sky
80,Gubkinskiy,RU,64.434,76.5026,66.33,55,100,11.07,overcast clouds
81,Camacha,PT,33.0833,-16.3333,68.76,88,40,14.97,scattered clouds
82,Rincon,US,32.296,-81.2354,80.51,85,1,9.22,clear sky
83,Codrington,AU,-38.2667,141.9667,57.7,68,10,19.46,clear sky
84,Saint George,US,37.1041,-113.5841,87.64,37,1,1.01,clear sky
85,Half Moon Bay,US,37.4636,-122.4286,65.53,79,1,0.0,clear sky
86,Yellowknife,CA,62.456,-114.3525,73.29,48,4,6.44,clear sky
87,Nanortalik,GL,60.1432,-45.2371,45.95,92,100,7.52,light rain
88,Atuona,PF,-9.8,-139.0333,77.41,68,31,12.5,scattered clouds
89,Eureka,US,40.8021,-124.1637,55.2,79,27,1.01,scattered clouds
90,Thompson,CA,55.7435,-97.8558,66.36,72,75,8.05,smoke
91,Severo-Kurilsk,RU,50.6789,156.125,57.45,69,17,14.18,few clouds
92,Goldenrod,US,28.6103,-81.2887,81.37,78,75,3.0,broken clouds
