City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Steamboat Springs,US,2021-27-27 09:29:42,40.485,-106.8317,67.59,54,1,0.0
1,Aracaju,BR,2021-27-27 09:26:36,-10.9111,-37.0717,71.55,94,90,1.14
2,Punta Arenas,CL,2021-27-27 09:28:36,-53.15,-70.9167,42.91,81,75,11.5
3,Lakatoro,VU,2021-27-27 09:29:43,-16.0999,167.4164,76.89,82,100,17.18
4,New Norfolk,AU,2021-27-27 09:29:43,-42.7826,147.0587,54.91,60,100,4.0
5,Itarema,BR,2021-27-27 09:29:44,-2.9248,-39.9167,75.4,84,84,14.29
6,Aklavik,CA,2021-27-27 09:29:44,68.2191,-135.0107,54.32,84,99,4.92
7,Nikolskoye,RU,2021-27-27 09:29:45,59.7035,30.7861,84.09,32,4,3.24
8,Ilhabela,BR,2021-27-27 09:29:45,-23.7781,-45.3581,70.21,46,0,6.69
9,Busselton,AU,2021-27-27 09:29:45,-33.65,115.3333,52.09,56,87,18.12
10,Port Alfred,ZA,2021-27-27 09:29:46,-33.5906,26.891,74.82,29,20,26.64
11,Tasiilaq,GL,2021-27-27 09:29:46,65.6145,-37.6368,39.36,83,34,2.84
12,Doha,QA,2021-27-27 09:29:46,25.2867,51.5333,115.11,30,2,8.05
13,North Bend,US,2021-27-27 09:29:47,43.4065,-124.2243,59.23,91,90,11.5
14,Butaritari,KI,2021-27-27 09:29:47,3.0707,172.7902,80.22,80,65,7.34
15,Yellowknife,CA,2021-27-27 09:29:47,62.456,-114.3525,52.32,82,75,3.0
16,Barda,AZ,2021-27-27 09:29:48,40.3744,47.1267,97.88,19,2,10.42
17,Cidreira,BR,2021-27-27 09:29:48,-30.1811,-50.2056,55.71,93,100,18.05
18,Santa Rosa,PH,2021-27-27 09:29:49,14.3122,121.1114,84.18,80,88,16.42
19,Saint-Philippe,RE,2021-27-27 09:29:49,-21.3585,55.7679,74.75,72,100,9.95
20,Atuona,PF,2021-27-27 09:29:49,-9.8,-139.0333,78.04,68,83,22.35
21,Sakakah,SA,2021-27-27 09:29:50,29.9697,40.2064,107.17,14,0,6.29
